category,rating,label,text_,validity
Books_5,5,CG,I'm hooked on this writer and will be reading more of her work.,1
Books_5,5,CG,Good book and exactly as described. The characters were well developed and believable. The writing was just as,1
Books_5,5,CG,"Fitting that the ultimate survivor of an epidemic is the one who will save her, the person who",1
Books_5,5,CG,Absolutely loved every word!  We have the book on Kindle and it's also a must read!,1
Books_5,5,CG,"I loved it! It was a real, believable, and engrossing read.",1
Books_5,5,CG,Patterson is my FAVORITE author.  I love the way he explains how science works,1
Books_5,4,CG,The book captured me and I loved the characters and the setting.  I really enjoyed the story.,1
Books_5,4,CG,I love Flavia.  I know she's an interesting character but she's also a very strong,1
Books_5,4,CG,Helps to remember to look forward to the next one.I read this book for the first time,1
Books_5,4,CG,Have read everything Woods ever written. The characters are just too real. There is a lot of time,1
Books_5,4,CG,"Enlightening and except for a few moments, the writing is good.  There is a strong",1
Books_5,4,CG,"A little longer than necessary, but the story is just too full of information for the reader to skim",1
Books_5,3,CG,"Not much mystery in this book. The characters are well developed and believable, and the plot is interesting",1
Books_5,5,CG,Excellent writing and enjoyable reading.I love the writing. I read it for my students and they loved,1
Books_5,5,CG,"Excellent book, well written. You will not be disappointed. Very good book.",1
Books_5,5,CG,Her latest and best book.  She is an excellent writer.  She is a very strong heroine,1
Books_5,4,CG,Good read. Enjoyable characters. Kept me turning pages. Great plot.,1
Books_5,4,CG,"I liked the new detective, but I thought the third book in the series would have been better.",1
Books_5,5,CG,This was a fast paced thriller with the usual twists and turns.  There were a few moments where,1
Books_5,3,CG,"Pretty good book, well written, and an entertaining story.  I will keep reading it!Very",1
Books_5,1,CG,"Only 1/4 of the way through the book, I decided I needed to read it again.",1
Books_5,5,CG,good for my son to read. The story is well written and easy to read.Very good.,1
Books_5,2,CG,Could not read more than once. The story is very good and I enjoyed it very much.,1
Books_5,5,CG,A book to help see what happens when you try to take a stand for a cause.,1
Books_5,4,OR,It's witty and intriguing. I hang on to every word.,0
Books_5,5,OR,Good read. I really enjoyed the characters in the book.,0
Books_5,5,OR,"It's Dr. Seuss, how can you miss??? Great quality hardcover.",0
Books_5,5,OR,Great read.  Makes you wish you lived in Nantucket.,0
Books_5,4,OR,A good read which keeps you wondering until the end.,0
