category,rating,label,text_,validity
Electronics_5,5,CG,Easy to install even without a power supply.  Easy to use.  Great product!  Works,1
Electronics_5,4,CG,"Good Memory card! But prices are a little lower than other brands. Also, the graphics card has",1
Electronics_5,5,CG,"The product is the one that will make you feel comfortable with it.

The only downside is",1
Electronics_5,5,CG,"Adorable.  Plastic not best, but the quality is good.  Also, the case does",1
Electronics_5,4,CG,"A little loose for the time being, but it is good enough. Nice little speaker.",1
Electronics_5,5,CG,Great cables. They are working great. The only problem is that they are not very sturdy.,1
Electronics_5,1,CG,"Not worth the money, kept it for the last two years.

If you have a larger",1
Electronics_5,5,CG,"Seems great, so far. Have not had any issues with it.",1
Electronics_5,5,CG,"Very Good Camera, works very well. The only problem is that it takes a while to get used",1
Electronics_5,5,CG,I always buy Lg dvd players. The quality is good but it's not a perfect fit,1
Electronics_5,5,CG,"As always, great cables. Buy this one and you will never regret it.",1
Electronics_5,5,CG,"Much faster than the other brands. The only problem is that it's not really a stereo, but",1
Electronics_5,5,CG,Exactly what I was expecting.  I love the feel of the lens.  The zoom is awesome,1
Electronics_5,5,CG,Perfect fit.  Light weight and has the right amount of pressure to keep my iPad in the pocket,1
Electronics_5,5,CG,"Cost a little more than $200, and it works perfectly.  If you have a larger head",1
Electronics_5,5,CG,"Great seller, item delivered as promised.Great Product!Very good quality.Nice little speaker! Works",1
Electronics_5,5,CG,"Good product was worth the money. The only problem is that it's not really a stereo, but",1
Electronics_5,5,CG,"outstanding speaker. a little more bass, but overall sound is good.",1
Electronics_5,5,CG,PERFECT. VERY STURDY. CHILD PROOF. Not an easy case,1
Electronics_5,5,CG,"Nothing bad to say. Works great. The only problem is that it's not really a stereo,",1
Electronics_5,5,CG,"This was a gift and it has been an awesome experience.

If you have a larger head",1
Electronics_5,4,CG,Don't like the different plug. Not sure if the cord is too short or not.,1
Electronics_5,2,CG,Quality is not good. You have to be careful to make sure it's properly aligned.,1
Electronics_5,5,CG,"Strong nice TV mount it holds a 55"" tv in place.  I have a 55"" HD",1
Electronics_5,4,CG,its decent enough.  nothing else to complain about.  I will keep this in mind when buying,1
Electronics_5,5,CG,"I have two pioneer twelves.  I have an old Pioneer TRS-40, a",1
Electronics_5,5,CG,good cover saved my phone from an unwanted flash drive. I will keep this for the next one.,1
Electronics_5,5,CG,Great deal on a well built set of headphones.  I will keep my review for a couple months,1
Electronics_5,5,CG,Just love my iPad and this has kept me going.works great.Nice little speaker! Works great,1
Electronics_5,5,CG,Netgear Quality > converted my old wireless router into a wireless router.  This is the first one,1
Electronics_5,4,CG,Worked well to serve Readyboost and an external external drive. I also used this drive to upgrade,1
Electronics_5,5,CG,I have a HR34 DVR that has the same problem. I need to turn it off and,1
Electronics_5,5,CG,On time delivery and It's a real shame the box is not full.,1
Electronics_5,5,CG,"With the Magician software it works fine, but the instructions are a little difficult to understand. ",1
Electronics_5,5,CG,"Can't beat the price for this. The quality is good.

If you have a larger",1
Electronics_5,5,CG,"Love it, sounds great & looks great, the only thing I wish was that it would have a",1
Electronics_5,5,CG,These are some of the best ones I've used. I'm not sure if I would recommend them,1
Electronics_5,5,CG,"My unifi network is fantastic, and it's an awesome experience.

If you have a",1
Electronics_5,5,CG,"its great item, i still use it everyday.Worst item in the world for the price.",1
Electronics_5,5,CG,"AF works perfectly.  A little bulky, but it works.

If you have a larger",1
Electronics_5,3,CG,"It was bought for a weekend trip and the camera worked flawlessly.

The only downside is",1
Electronics_5,5,OR,Used two of these in an SLI with good results.,0
Electronics_5,5,OR,It was as described and worked perfectly for my TV.,0
Electronics_5,5,OR,You can upgrade this.  It is an excellent buy!,0
Electronics_5,4,OR,Really made it nice being able to reach the distance,0
Electronics_5,3,OR,The adhesive works but Quality was bad.,0
Electronics_5,5,OR,Fast shipping works as advertised replacement cord for Samsung TV...,0
Electronics_5,5,OR,Great Cable. Love it. Nothing more needs to be said.,0
Electronics_5,1,OR,Couldn't get it to work.  I'd avoid this one.,0
Electronics_5,1,OR,"Junk. Defective within 2 months. Replaced under warranty, Gifted replacement",0
Electronics_5,4,OR,Sound is not that great; get what I pay for,0
Electronics_5,5,OR,"For the money,I've never had better sound,perfect for my ears-Kevin",0
Electronics_5,5,OR,Great quality and function. very well made.,0
