category,rating,label,text_,validity
Pet_Supplies_5,5,CG,Ears were really bad and had an odor.  I was concerned about my dogs getting sick and,1
Pet_Supplies_5,5,CG,"Dog loves them, I have a 9 year old Lab and I have a 5 month old Lab and",1
Pet_Supplies_5,1,CG,"I used them, but they are not as good as they used to be, and I don't",1
Pet_Supplies_5,5,CG,My dog loved them and it has kept her occupied for a long time.  She does not mind,1
Pet_Supplies_5,5,CG,My two cats love Hill's treats. The only problem is that they are kind of hard to find,1
Pet_Supplies_5,2,CG,"it was cracked a little, but the pieces were fine.

The only reason I gave it",1
Pet_Supplies_5,2,CG,Not worth the cost.  We have 3 dogs and they all love it!  I have one,1
Pet_Supplies_5,5,CG,I like it but my dog has a sensitive stomach. I will not buy it again.,1
Pet_Supplies_5,5,CG,"works vary good my first time using it.  I've tried other brands, but this one is",1
Pet_Supplies_5,5,CG,Great for my small picky dog. The only problem is that it's kind of hard to put,1
Pet_Supplies_5,5,CG,"easy to work with, replaced it with the regular one. I will keep this for the next couple",1
Pet_Supplies_5,5,CG,This is human grade dog food. The quality is good. My dog is a 40 pound Lab.,1
Pet_Supplies_5,5,CG,great product. saved me from hauling a bunch of pieces off of the ground.,1
Pet_Supplies_5,1,CG,"Destroyed in 10 minutes. Also, it's a very thin plastic.",1
Pet_Supplies_5,3,CG,Pepper likes it. Sometimes she doesn't like the taste. I will keep this for a few,1
Pet_Supplies_5,4,CG,"It works only marginally better than a regular shampoo, which is a shame because it's been one of",1
Pet_Supplies_5,2,CG,"He sort of likes it, but it's not very comfortable for him.",1
Pet_Supplies_5,5,CG,"lightweight, sharp, perfect for cats, small dogs, and long haired dogs.

",1
Pet_Supplies_5,2,CG,"Medium size too small for my puppy, but she loves it.  I have a large one.",1
Pet_Supplies_5,5,CG,Sturdy and comfortable to hold. We have 3 dogs and they all love it!We have been,1
Pet_Supplies_5,5,CG,Have used others and this one has the best feel. I will keep purchasing it!Very nice.,1
Pet_Supplies_5,5,CG,Great size and love that it has a wide opening. I will keep this for the next couple of,1
Pet_Supplies_5,5,CG,Excellent quality product. My dog loves this toy and the materials are good.,1
Pet_Supplies_5,1,CG,Did not work on my dog. The only reason I gave it 4 stars is because the one we,1
Pet_Supplies_5,5,CG,Our clinic cat loves this toy. The only problem is that it's kind of hard to put together,1
Pet_Supplies_5,4,CG,somewhat small but I can't find a large one.  I will keep my lab in,1
Pet_Supplies_5,4,CG,My dog didn't like it.  She kept pulling on it.  She pulled on the buckle,1
Pet_Supplies_5,5,CG,"Well made sweater for dog, looks cute and the materials are good.  My dog loves this sweater",1
Pet_Supplies_5,3,CG,"Seems to be helping some of my cats with their teeth.  Also, my cats are pretty",1
Pet_Supplies_5,5,CG,Adorable. Perfect. AND easy on and off.  It is a great product for a small,1
Pet_Supplies_5,5,CG,My dog loves this toy.  She is an aggressive chewer and will play with this toy every,1
Pet_Supplies_5,4,CG,"great price for this article.  I have bought many other brands of pet collars, but this",1
Pet_Supplies_5,2,CG,"my shepherd/retriever doesn't really like this toy, she's just too lazy to play",1
Pet_Supplies_5,2,CG,"Worked some of the time, but the quality is good.

The only reason I'm",1
Pet_Supplies_5,5,CG,Amazing for my pug with sensitive skin and sensitive eyes. I will keep this for the next couple,1
Pet_Supplies_5,3,CG,"my chinchilla doesn't like it, but it's a good size for a small dog.",1
Pet_Supplies_5,5,CG,Great for making puppy gruel better.Great Product!Very good quality. My dog loves this treat,1
Pet_Supplies_5,5,CG,Love it. Its always packed and has the right amount of water in it.My cats love them,1
Pet_Supplies_5,4,CG,Only thing our finiky 15 lb. puppy does not like is the zipper that opens the top of,1
Pet_Supplies_5,5,CG,"Dog loves these, price is good. The only problem is that they are small, I have one",1
Pet_Supplies_5,2,CG,"my cat didn't use it, but I thought it would be a nice addition to the litter box",1
Pet_Supplies_5,5,CG,High quality. Unique ingredients. My dog loves them.We have two dogs and they have been eating,1
Pet_Supplies_5,5,CG,"it came in on time and it arrived with a very good carrier.

The carrier has a",1
Pet_Supplies_5,5,CG,Very nice! My bird really likes it and the materials are good.  My only complaint is the,1
Pet_Supplies_5,5,CG,these are great and dogs love them too!!We have two dogs and they have been eating them.,1
Pet_Supplies_5,5,CG,"One of my cat's favorites, and it's the only one I will buy for him.",1
Pet_Supplies_5,5,CG,All three dogs loved these.  They are the best.  My puppy is a small breed and,1
Pet_Supplies_5,5,OR,My 8 and my son's 2 love this food...no issues...,0
Pet_Supplies_5,5,OR,The plant bunches are  nice and large very healthy.,0
Pet_Supplies_5,5,OR,"they are simple, sharp, and cut nicely. happy with them.",0
Pet_Supplies_5,5,OR,Worked great! The dog stopped barking and its own shadow.,0
Pet_Supplies_5,5,OR,Among my favorites. Cats seem to like it as well.,0
Pet_Supplies_5,5,OR,Every batch has been great.  It even smells awesome,0
Pet_Supplies_5,5,OR,Awesome leash for my dog.  Nice thick quality leash.,0
Pet_Supplies_5,1,OR,"Really flimsy, doesnt work well, point bends and dumps litter.",0
Pet_Supplies_5,3,OR,"seems alittle dull, Ill try it again to make sure.",0
Pet_Supplies_5,5,OR,"dog loved it, very small and perfect for 5-10 pounders",0
Pet_Supplies_5,4,OR,I have used this twice and so far so good!,0
Pet_Supplies_5,4,OR,These are really good little squirrels for the log toy.,0
Pet_Supplies_5,5,OR,Works great sure a lot less stressed in the vehicle,0
Pet_Supplies_5,5,OR,Fits perfectly in the Amazon basics double door large kennel.,0
Pet_Supplies_5,5,OR,"love it, can't wait to travel with my fur babies",0
Pet_Supplies_5,4,OR,"Exactly as the picture, but didn't slow my pup down.",0
Pet_Supplies_5,5,OR,My cat loves this and likes to bat it around.,0
Pet_Supplies_5,5,OR,Good size my 8-10 lb dogs love the size. Excellent.,0
Pet_Supplies_5,5,OR,I have three dogs and they all love this food.,0
Pet_Supplies_5,5,OR,perfect for my 1lb puppy and he absolutely loves it!,0
Pet_Supplies_5,5,OR,"Nice, soft and fit well in the new cat carrier.",0
Pet_Supplies_5,5,OR,My mice didn't like this but my friends mouse did.,0
Pet_Supplies_5,5,OR,Great rock for great price. Works great for frag plugs..,0
Pet_Supplies_5,4,OR,Liked it but it was torn when it cane in,0
Pet_Supplies_5,5,OR,My two cockatiels have a lot of fun with this!,0
Pet_Supplies_5,5,OR,Great product. It has really helped my dog's skin irritation.,0
Pet_Supplies_5,5,OR,My dog Kemba loved the cake for his 2nd Bday!,0
Pet_Supplies_5,5,OR,This brand of pet food is great. All good ingredients.,0
Pet_Supplies_5,5,OR,Dog loves it.  She's a heavy chewer Golden Retriever.,0
Pet_Supplies_5,5,OR,Great self-priming siphon vacuum! Perfect for my 5 gallon tanks!,0
Pet_Supplies_5,5,OR,I have two cats at home and they love it!,0
Pet_Supplies_5,5,OR,My cat loves it! Please check out our review. http://youtu.,0
Pet_Supplies_5,5,OR,Still holding up after a year with a tough chewer.,0
Pet_Supplies_5,5,OR,Great brush! Easy to use and SO EASY TO CLEAN.,0
Pet_Supplies_5,2,OR,The holes are too big the fence receiver slipped out,0
Pet_Supplies_5,5,OR,The best.  Won't hurt your dog and very strong.,0
Pet_Supplies_5,5,OR,Super bright. Holds up well in the marsh so far,0
Pet_Supplies_5,5,OR,Size  is a little small but hey well made...,0
Pet_Supplies_5,5,OR,my dog loves these the best soft easy to break,0
Pet_Supplies_5,2,OR,I'm sure it's fine but bird will not touch it,0
Pet_Supplies_5,5,OR,My cats like this hairball remedy more than any other.,0
Pet_Supplies_5,5,OR,Absolutely one of the best brands out there for chewers.,0
Pet_Supplies_5,4,OR,Puppies enjoy chewing on this toy and it is durable,0
Pet_Supplies_5,5,OR,My dog absolutely loves these treats!  Two paws up!,0
Pet_Supplies_5,5,OR,"best price, very large units. too large for cuttlebone holders.",0
Pet_Supplies_5,5,OR,cute as can be - our little dogs loved it,0
Pet_Supplies_5,4,OR,filter fit perfectly with my old filter.,0
Pet_Supplies_5,5,CG,"Really has helped with my dog's anxiety.  I've tried other pills, but this one has",1
Pet_Supplies_5,1,CG,Very cheap product and will last a long time.Very good quality. My dog loves this treat.,1
Pet_Supplies_5,3,CG,"One dog loves it; one doesn't.  It is a little heavy for him, but he",1
Pet_Supplies_5,5,CG,"My cat likes these, different colors. The only problem is that they are kind of hard to find",1
Pet_Supplies_5,5,CG,My dog likes it and it has kept her occupied for a long time.  She does not mind,1
Pet_Supplies_5,5,CG,"Just like the ones that go on the bottom, these are a little more difficult to get off.",1
Pet_Supplies_5,5,CG,My parrot likes to chew on things and this one is no exception.  He loves to scratch,1
Pet_Supplies_5,5,CG,the only tag holder that holds a whole bunch of litter in it.  It's been a couple,1
Pet_Supplies_5,5,CG,I use this to train my puppy and she loves it too.  I have a large dog and,1
Pet_Supplies_5,4,CG,These are large. Plenty of room for the pup to lie down.  These have a strong grain,1
Pet_Supplies_5,5,CG,"Warm, easy to put on, and has the wide opening for the collar.",1
Pet_Supplies_5,5,CG,My Blood Parrots LOVE these!  They are the best part of the package!  I have,1
Pet_Supplies_5,5,CG,Seems to make getting hairballs easier and healthier.  I also love that it's been one,1
Pet_Supplies_5,5,CG,"Pleased with the results, they are a little pricey, but I will keep them for the long",1
Pet_Supplies_5,5,CG,"A little heavier than expected, but it's a very comfortable fit.  My dog loves this harness",1
Pet_Supplies_5,5,CG,They are perfect...and my Malti-poo loves them too.We have two dogs and,1
