category,rating,label,text_,validity
Sports_and_Outdoors_5,5,CG,"perfect have a dart board, an island with a beach towel, and a bag of fruit and a",1
Sports_and_Outdoors_5,5,CG,Gift for 30 year old woman. The only problem is that she wears her hair in a pony,1
Sports_and_Outdoors_5,4,CG,Holds up great at the range. The only problem is that it's a little hard to put,1
Sports_and_Outdoors_5,5,CG,"This thing works amazingly well, and has kept me cool in the cold weather for a very long time",1
Sports_and_Outdoors_5,5,CG,I've bought four of these and have been very pleased. I will keep my 2x2 and,1
Sports_and_Outdoors_5,5,CG,Great product! I can do this with my cell phone. I also love that it's easier to,1
Sports_and_Outdoors_5,5,CG,I like Fiebings products.  They have the wide brim which is a nice feature for,1
Sports_and_Outdoors_5,4,CG,"fit well on my 5'11"", 185 lbs, with long legs.",1
Sports_and_Outdoors_5,5,CG,My third one-works great for keeping me warm.  I've also used this for a few,1
Sports_and_Outdoors_5,5,CG,got it and ate it.  The only problem is that it's a little hard to put on,1
Sports_and_Outdoors_5,4,CG,My daughter wears this for hiking and camping. It is very comfortable and fits her well.,1
Sports_and_Outdoors_5,5,CG,Good quality and my son loves it.  Great value for the money!This is a pretty good,1
Sports_and_Outdoors_5,5,CG,"Like it so well, I'm sure I'll be using it in a few weeks.",1
Sports_and_Outdoors_5,5,CG,These are plastic fyi. Seem to be made with materials that are either not designed for the,1
Sports_and_Outdoors_5,5,CG,Part of therapy but rack is a little wide and tight for a rack that is a little larger.,1
Sports_and_Outdoors_5,5,CG,These are a must for anyone who wants to carry a flashlight in a concealed bag.,1
Sports_and_Outdoors_5,5,CG,Great Tool to add to your EDC. Easy to use and make a difference.,1
Sports_and_Outdoors_5,5,CG,Had all of the necessary adjustments. The only problem is that it's a little hard to put the,1
Sports_and_Outdoors_5,5,CG,"perfect size for survival kit, and an easy to carry. I will be purchasing a couple more of",1
Sports_and_Outdoors_5,5,CG,"great flashlight really liked boughted down a bit.  Not too much to say, I'm",1
Sports_and_Outdoors_5,3,CG,Hard to tighten and blue plastic. The only problem is that it's not really a mesh one.,1
Sports_and_Outdoors_5,5,CG,"Yummy, I bought extra chicken and steak and they taste just like it.Nice bag for the",1
Sports_and_Outdoors_5,5,CG,"Good light for night sporting, hiking or camping.  Easy to adjust and turn up the volume and",1
Sports_and_Outdoors_5,4,CG,This item was a gift--hence the name--to my son for Christmas.,1
Sports_and_Outdoors_5,4,CG,Nice fit does what it's supposed to and the materials are good.  I have a large one,1
Sports_and_Outdoors_5,5,CG,"works really well, easy to use and easy to clean. I will definitely recommend this product to anyone",1
Sports_and_Outdoors_5,3,CG,Nice socks but very expensive.  The quality is good but the construction is not the best. ,1
Sports_and_Outdoors_5,5,CG,Love these...no hassle.  Pick up a couple of them and take them back to your car,1
Sports_and_Outdoors_5,4,CG,"fine for the money.  Not an easy case to put on a bike, but I'm pretty",1
Sports_and_Outdoors_5,5,CG,I have several of these and have been using them for a while.  They are strong and durable,1
Sports_and_Outdoors_5,5,CG,Quality product. Accurate description with clear picture and shipping. Very good quality.,1
Sports_and_Outdoors_5,3,CG,"It is a nice football, but the wide knee pads are a little too wide for my knees.",1
Sports_and_Outdoors_5,5,CG,"Very compact yet does everything it should and does it all.

The only reason I gave it",1
Sports_and_Outdoors_5,5,CG,great gift. hollow inside. about $200.00 worth.works great.Nice bag for the,1
Sports_and_Outdoors_5,3,CG,"short snake, not what I wanted. The only reason I gave it 4 stars is because I'm",1
Sports_and_Outdoors_5,5,CG,Very secure holster. extremely fast draw. Very comfortable. Highly recommend it.,1
Sports_and_Outdoors_5,5,CG,"Nice case I Springfield Armory holds an AR with a 15"" barrel.  The dimensions are just right",1
Sports_and_Outdoors_5,5,CG,This is a really superb tool. The only problem is that it comes with a small screwdriver.,1
Sports_and_Outdoors_5,5,CG,Great compromise of flexibility and convenience. The only problem is that it's a little hard to put on,1
Sports_and_Outdoors_5,4,CG,Good value despite long shipping time. The only problem is that it comes with a small screw driver.,1
Sports_and_Outdoors_5,1,CG,One little topple sideways and it broke the pieces off. I will keep this for the next one.,1
Sports_and_Outdoors_5,5,CG,My husband loves these shoes. They have the wide toe pads that are nice for wearing in the summer,1
Sports_and_Outdoors_5,5,CG,Bought these as gifts. They are a little too long and too thin. These have a nice,1
