category,rating,label,text_,validity
Toys_and_Games_5,5,CG,Works great! Nice and thick material. The pieces are sturdy and will stand up to the abuse of,1
Toys_and_Games_5,4,CG,they are fun to play with. The pieces are sturdy and the pieces are just the right size.,1
Toys_and_Games_5,5,CG,Purchased for a birthday gift. She loves it!Very good quality.,1
Toys_and_Games_5,5,CG,Super cute and excellent quality.  The pieces are sturdy and will stand up to the abuse of the,1
Toys_and_Games_5,4,CG,"good exercise for the brain, and an easy way to practice spatial reasoning.",1
Toys_and_Games_5,5,CG,"Great toy for either boy or girl, and very fun for all ages!My daughter loves the Lego",1
Toys_and_Games_5,5,CG,Of course boys love grenades! We have had the opportunity to play with this for a couple of years,1
Toys_and_Games_5,5,CG,Got it to keep jewelry safe. The pieces are sturdy and its easy for my kids to throw.,1
Toys_and_Games_5,5,CG,Light weight and easy to use. The pieces are sturdy and will stand up to the abuse of the,1
Toys_and_Games_5,4,CG,Keeps him occupied. I thought this would be a good addition to our growing collection.,1
Toys_and_Games_5,5,CG,Super Brand New! Great Product!!My daughter loves this!Very cute and easy to use!Very,1
Toys_and_Games_5,5,CG,"these were great as pinata, but the pieces were a little hard to make up.",1
Toys_and_Games_5,5,CG,got it for my son and he loves it!Very good quality. My son loves this toy.,1
Toys_and_Games_5,5,CG,My mom loved her action figure. The pieces are sturdy and she's happy with the purchase.,1
Toys_and_Games_5,2,CG,"Doesn't stay open so my son has to play with it.

The only reason I",1
Toys_and_Games_5,5,CG,Great buy will recommend anyone who has the time to try this out.My son loves this!Great,1
Toys_and_Games_5,5,CG,Schleich and Papo are the perfect size and the materials are thick enough to make a sturdy,1
Toys_and_Games_5,5,CG,Fun to make but not what I expected.  Not sure if it's just the paint job or,1
Toys_and_Games_5,3,CG,Smaller than anticipated.  Just what I expected.  Not too big or too small. ,1
Toys_and_Games_5,5,CG,i love fnaf so i know it will be a hit for him.he loves this! he,1
Toys_and_Games_5,5,CG,my grandson is going to love it!  It is a great starter for him!Very nice.,1
Toys_and_Games_5,4,CG,Great Slide. But needs more time to get the pieces in place. Also need to fix the slide,1
Toys_and_Games_5,5,CG,Our 8 year old loved this set and the materials are good.  My son loves to throw the,1
Toys_and_Games_5,5,CG,"This is such a fun little set, and the instructions are easy to follow. I would recommend.",1
Toys_and_Games_5,5,CG,So soft and cute. Great for an older child.Very cute.  My son loves this!,1
Toys_and_Games_5,5,CG,"Set up was a breeze, and it took me about 15 minutes to assemble.",1
Toys_and_Games_5,5,CG,"Super cute, my niece has been playing with it for awhile now.  My 2 year old has",1
Toys_and_Games_5,5,CG,Perfect addition. to vtech Go! We have the Go! Go! Go! Go! Go,1
Toys_and_Games_5,5,CG,"What a kid expects in a toy, and the instructions are pretty easy for a child to follow.",1
Toys_and_Games_5,5,CG,My almost 2 year old loves it and the materials are good.  My 2 year old has a,1
Toys_and_Games_5,5,CG,"Loved by our 4, 8 and 9 year olds.  They all love this toy!Very",1
Toys_and_Games_5,5,CG,Great purchase came in a timely manner and the box was sealed properly. My son loves this toy.,1
Toys_and_Games_5,5,CG,"This is a ""just because"" game, with lots of fun and lots of replayability. ",1
Toys_and_Games_5,5,CG,"Great to play with in the bath, the kids love it.  My son loves to play with",1
Toys_and_Games_5,5,CG,I love ravensburger puzzles. the colors are vibrant and the pieces are sturdy.,1
Toys_and_Games_5,5,CG,"The box is awesome and looks great, the materials are thick and sturdy, and the figures are sturdy",1
Toys_and_Games_5,5,CG,"Tank looked wonderful. A bit small for the price, but I will admit that it's been a",1
Toys_and_Games_5,4,CG,"My son loves Rocky, he plays with the pieces and trains them all the time.",1
Toys_and_Games_5,5,CG,This is the cutest thing ever. The pieces are just too large. My son loves this and,1
Toys_and_Games_5,2,CG,I forgot how boring this was. The pieces are just too small. My son loves this and we,1
Toys_and_Games_5,4,CG,"Cute costume. Quality is what it is, the materials are good, and the quality is decent",1
Toys_and_Games_5,5,CG,Very cute arrived on time and in great condition.Very good quality. My son loves this!Great,1
Toys_and_Games_5,3,CG,"Screen lights up in nearly every picture, and the sound effects are pretty loud.",1
Toys_and_Games_5,5,CG,Very simple game for toddlers.  Easy to learn and fun for adults.My son loves this!,1
Toys_and_Games_5,5,CG,was the perfect birthday gift for my granddaughter.  She loved it.My son loves this!Great,1
Toys_and_Games_5,1,CG,My sister 6years we tried this set and she loved it.  She also loves the music and,1
Toys_and_Games_5,5,CG,Great price. Great product. Fast shipping.Great quality and fun for all ages!My daughter loves,1
Toys_and_Games_5,3,CG,"It wasn't the greatest toy, but it was a good value for the money.",1
Toys_and_Games_5,2,CG,Seemed a little cheaper than what I expected.  Not sure if it's just the size of,1
Toys_and_Games_5,5,CG,"Good quality, 3 year old loves it, and the instructions are easy to follow.",1
Toys_and_Games_5,5,CG,My granddaughter has gotten many compliments on the quality of these dolls.  These dolls are very pretty.,1
Toys_and_Games_5,4,CG,these were cute but alittle small. The pieces were a bit hard to fit in the box and,1
Toys_and_Games_5,4,CG,a little difficult for little ones to grasp.  We've had a lot of fun with it.,1
Toys_and_Games_5,5,OR,"Item as described, would buy again. Very fun little car.",0
Toys_and_Games_5,4,OR,Son really liked it. Came assembled for the most part.,0
Toys_and_Games_5,5,OR,"My kids love this stuff, I have no idea why.",0
Toys_and_Games_5,5,OR,I bought this for my granddaughter and she loves it.,0
Toys_and_Games_5,4,OR,Son loved. white changing marker ran out earlier than expected,0
Toys_and_Games_5,5,OR,Works great! No complaints very similar to Nintendo brand controller,0
